线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
南1路B,南1路B(海力花园站--广州船坞总站),金岭南路站,BV10015855,206,金岭北路站,BV10015861,3,普通
453A路,453A路(沿河路总站--沿河路总站),东晖路,BV10703778,171,东晖路(夏园农民公寓),BV09292564,3,普通
453A路,453A路(沿河路总站--沿河路总站),东晖路,BV10703778,171,东晖路(夏园农民公寓),BV09292564,3,普通
番28B路,番28B路(大刀沙村尾--前锋总站),地铁石碁南站(前锋村),BV09339921,150,地铁傍江站(政务服务中心),BV09344615,3,普通
番182路,番182路(周山岗总站--沙溪大道东总站),地铁会江站,BV10023162,137,地铁沙溪站(东行),BV09359573,3,普通
南55路,南55路(高铁庆盛站--新兴村委总站),亭角村站,BV10015929,134,亭角北站,BV10015927,3,普通
高峰快线24路,高峰快线24路(广州火车东站总站--港湾一村),林和西路,BV11688381,134,林和西路2,BV09383025,3,普通
11路,11路(广州火车东站总站--大元帅府总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
214路,214路(广州火车东站总站--新塘总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
246路,246路(太和(丰泰横路)总站--广州火车东站总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
41路,41路(广州火车东站总站--汇景北路总站),林和西路站,BV11688381,133,林和西路2,BV09383025,3,普通
884路,884路(天健创意园总站--广州火车东站总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
B19路,B19路(广州火车东站总站--杨桃公园总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
B20路,B20路(广州火车东站总站--天河儿童公园北门总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
广283路,广283路(广州火车东站总站--万科四季花城总站),林和西路,BV11688381,133,林和西路2,BV09383025,3,普通
佛276路/佛276,佛276路/佛276(干)路(东方广场北门--罗冲围客运站),金沙洲路,BV11688450,127,金沙洲路2,BV11329134,3,普通
夜122路,夜122路(白沙(中海金沙湾)总站--永泰新村总站),金沙洲路站,BV11688450,127,金沙洲路2,BV11329134,3,普通
广424路,广424路(白沙总站--白云文化广场总站),金沙洲路站,BV11688450,127,金沙洲大桥西,BV10713669,3,普通
32路,32路(黄石路总站--华工大总站),远景路,BV11688397,119,远景路1,BV09168358,3,普通
58路,58路(时代玫瑰园总站--广医一院总站(靖海路)),远景路,BV11688397,119,远景路1,BV09168358,3,普通
旅游公交2线,旅游公交2线(珠江帝景苑总站--中山八路总站),滨江东路,BV10018259,102,滨江东路总站,BV10016328,3,总站
从化921路,从化921路(花林湖畔总站--地铁东风站),明珠管委会,BV10017884,101,明珠市场,BV11380997,3,普通
南沙70路,南沙70路(蕉门公交总站--市桥汽车站),汽车城地铁站,BV10016577,240,汽车城地铁站(市南大道),BV11639442,4,普通
番202路旅游专线,番202路旅游专线(大学城科学中心总站--大学城体育中心总站),综合商业北区,BV10013797,229,综合商业南区,BV10016014,4,普通
南沙4路,南沙4路(蕉门公交总站--滨海公园站),金岭南路站,BV10015855,206,金岭中路站,BV10015858,4,普通
569路,569路(沿河路总站--萝岗香雪总站),东晖路,BV10703778,173,东晖路(夏园农民公寓),BV09292564,4,普通
旅游公交3线,旅游公交3线(中成路总站--琶洲石基村总站),林和西路,BV11688381,133,林和西路2,BV09383025,4,普通
从3路,从3路(花林湖畔总站--上游路总站),明珠管委会,BV10017884,102,明珠市场,BV11380997,4,普通
南沙1路,南沙1路(蕉门公交总站--广州船坞总站),金岭南路站,BV10015855,206,金岭中路站,BV10015858,5,普通
花15路,花15路(飞鹅岭地铁总站--赤坭西莲塘村委总站),四角围,BV09404948,171,四角围村站,BV11375026,5,普通
花15B路,花15B路(飞鹅岭地铁总站--塱头村),四角围,BV09404948,170,四角围村站,BV11375026,5,普通
花5路,花5路(站前路公交总站--炭步总站),四角围,BV09404948,170,四角围村站,BV11375026,5,普通
广283路班车,广283路班车(白沙(中海金沙湾)总站--天河公交场总站),金沙洲路,BV11688450,144,金沙洲大桥西2,BV09010639,5,普通
264路,264路(广仁路总站--仑头总站),海印桥南,BV11688474,141,海印桥南1,BV09245639,5,普通
541路,541路(汇景新城东总站--恒宝广场总站),白云路,BV11688476,138,白云路1,BV09376615,5,普通
夜39路,夜39路(科韵路总站--恒宝广场总站),白云路,BV11688476,138,白云路1,BV09376615,5,普通
42路,42路(白沙总站--白沙(中海金沙湾)总站),金沙洲路站,BV11688450,126,金沙洲大桥西2,BV09010639,5,普通
从21路长线,从21路长线(珠江学院(东北门)--地铁东风站),西街口,BV11492267,114,西街市场,BV11480859,5,普通
