线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫,备注
南28路,2,冯马一村总站 ⇄ 水牛头渡口总站 / 水牛头渡口总站 ⇄ 冯马一村总站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南30路,2,嘉安花园站 ⇄ 红港村站 / 红港村站 ⇄ 嘉安花园站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南34路,2,东涌湖公交总站 ⇄ 珠江电厂站 / 珠江电厂站 ⇄ 东涌湖公交总站,06:35,22:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南35路,1,东涌地铁站 ⇄ 东涌地铁站,,,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南36路,2,东涌湖公交总站 ⇄ 西樵幼儿园总站 / 西樵幼儿园站 ⇄ 东涌湖公交总站,06:00,19:00,广州巴士集团南沙巴士有限公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南39路,2,万顷沙总站 ⇄ 大岗公交总站 / 大岗公交总站 ⇄ 万顷沙总站,06:30,22:30,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南41路,2,榄核公交总站 ⇄ 甘岗村委站 / 甘岗村委站 ⇄ 榄核公交总站,,,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南42路,2,南顺二村尾总站 ⇄ 大岗公交总站 / 大岗公交总站 ⇄ 南顺二村尾站,08:00,19:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南43路,2,张松村站 ⇄ 榄核公交总站 / 榄核公交总站 ⇄ 镇泰厂站,07:15,18:45,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南44路,2,创信鞋厂站 ⇄ 榄核公交总站 / 榄核公交总站 ⇄ 创信鞋厂站,07:30,18:30,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南45路,2,大岗公交总站 ⇄ 榄核公交总站 / 榄核公交总站 ⇄ 大岗公交总站,06:00,19:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
南46路,2,大岗公交总站 ⇄ 新联五路(云生四路口)临时站 / 新联五路(云生四路口)临时站 ⇄ 大岗公交总站,05:45,18:00,广州南沙润信客运公司,车来了未收录（可能停运/改名/未收录）,,车来了未收录（可能停运/改名，待人工核对）
