physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
c79cc80501654df0bd251024556f598b,纸厂 / 纸厂总,BV09347832 / BV10021944,纸厂（地铁燕岗站）,2,总站与非总站混合，不自动合并
1f2b08cb29764572b75af34750a2800f,沥滘总 / 沥滘,BV10016721 / BV11688783,沥滘总站,2,总站与非总站混合，不自动合并
5772700722f2481faa769fc07d927ec9,纸厂 / 纸厂总,BV09347832 / BV10021944,纸厂（地铁燕岗站）②,2,总站与非总站混合，不自动合并
c6753c2abb3e40eda83eea12525f2f15,纸厂横马路 / 纸厂横马路总,BV11671145 / BV10021807,纸厂横马路,2,总站与非总站混合，不自动合并
2b752d20ed3b4f4fa40053e9cfeef6c8,南洲北路 / 南洲北路总,BV10014357 / BV10019120,南洲北路,2,总站与非总站混合，不自动合并
42d86d9d807b4329b4e81e32d4fc2e5d,南洲北路 / 南洲北路总,BV10014357 / BV10019120,南洲北路 / 南洲北路总站,2,总站与非总站混合，不自动合并
a3b571c260ba43beaa922e4ff666c2ac,光大花园 / 革新路总,BV10015261 / BV10014587,光大花园 / 革新路总站,2,总站与非总站混合，不自动合并
196f299edee14992b0ec3e6de5b9fbe6,员村一横路 / 员村一横路总,BV10022311 / BV10013630,员村一横路,2,总站与非总站混合，不自动合并
4dfd2a0855e74b3a8376f0d552f90859,茶山庄 / 沙太路北总,BV10019236 / BV10022667,茶山庄 / 沙太路北总站,2,总站与非总站混合，不自动合并
3130bd070f20428187555871c835450b,七星岗总 / 七星岗#1,BV10019657 / BV10021829,七星岗,2,总站与非总站混合，不自动合并
248b395c605948d9946db8ab722cb06e,站南路 / 站南路总,BV10014073 / BV09012353,站南路② / 站南路总站,2,总站与非总站混合，不自动合并
4a10bc2a383147209c6bd0919380f6ce,七星岗#1 / 七星岗总,BV10021829 / BV10019657,七星岗,2,总站与非总站混合，不自动合并
6580280403df4d369e5a2c48aef2f450,小洲村口 / 小洲村口总,BV10018555 / BV11471863,小洲村口 / 小洲村口总站,2,总站与非总站混合，不自动合并
cdd12eba5844493e8d86d92fd1443e60,小洲 / 小洲总,BV11689633 / BV10022287,小洲 / 小洲总站,2,总站与非总站混合，不自动合并
bce381eb41fb432e8e75ea291c76d9e8,土华 / 土华总,BV10018239 / BV10021864,土华,2,总站与非总站混合，不自动合并
64b44aa92b0a4fa7ad065b0a9677edff,小洲村口 / 小洲村口总,BV10018555 / BV11471863,小洲村口 / 小洲村口总站,2,总站与非总站混合，不自动合并
0c6e783a8b3241af9117f425e5bdc4fe,瀛洲生态公园 / 瀛洲生态公园总,BV09273926 / BV10022466,瀛洲生态公园,2,总站与非总站混合，不自动合并
1e3d15e4b5a045b181f66a8c428e1178,江南大道南(地铁江泰路站) / 江南大道南总,BV09364559 / BV10016121,江南大道南（地铁江泰路站） / 江南大道南（地铁江泰路站）总站,2,总站与非总站混合，不自动合并
5a19c692148e4a1faf237568e862e12b,鱼珠码头 / 鱼珠码头总,BV11361606 / BV10018096,鱼珠码头,2,总站与非总站混合，不自动合并
94626643de514202af8d0ae4ea0a1f30,盈丰路总 / 盈丰路,BV10017134 / BV11370357,盈丰路总站 / 盈丰路,2,总站与非总站混合，不自动合并
2d388cfaf1e242f79ca4e0173e56ae1c,北山村(新滘东路) / 北山村总站(新滘东路),BV11475052 / BV10022387,北山村（新滘东路） / 北山村（新滘东路）总站,2,总站与非总站混合，不自动合并
955a52cf8cc34c0d905bd9c4d9b28e98,珠江泳场 / 珠江泳场总,BV09006391 / BV10021858,珠江泳场（海印公园）总站,2,总站与非总站混合，不自动合并
51bc13db2bc944f3973e16bcd42745bb,泮塘总 / 泮塘,BV10021910 / BV10022283,泮塘总站,2,总站与非总站混合，不自动合并
f7fc14cfd14149f1a1b9f0812f3c95ee,土华总 / 土华路西,BV10021864 / BV11488927,土华总站 / 土华路西,2,总站与非总站混合，不自动合并
effdaad90564473a8c699f794107c6f4,滘心路口 / 石井总站(滘心村),BV11601155 / BV10817722,滘心路口 / 石井（滘心村）总站,2,总站与非总站混合，不自动合并
e22fb2d9f1f94570b5cdde3fdb315b3b,晓港湾总 / 晓港湾,BV10018550 / BV11688514,晓港湾总站,2,总站与非总站混合，不自动合并
b6d07d51c8c2442eb8db6006321de463,临江大道(员村二横路口) / 员村总#2,BV10021902 / BV10389050,临江大道（员村二横路口） / 员村（绢麻厂）总站,2,总站与非总站混合，不自动合并
86a39655f35e45a1888b192af878988e,兴华路 / 天平架总,BV09164364 / BV10015233,兴华路（地铁天平架站） / 天平架总站,2,总站与非总站混合，不自动合并
