线路,方向记录数,本地起讫,首班,末班,运营公司,状态分类,车来了起讫
夜80路,2,地铁西村站总站 ⇄ 石马公交场总站 / 石马公交场总站 ⇄ 地铁西村站总站,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,地铁西村站总站 ⇄ 石马公交场总站 / 石马公交场总站 ⇄ 地铁西村站总站
夜81路,2,广汕路总站(科景路口) ⇄ 车陂总站 / 车陂总站 ⇄ 广汕路(科景路口)总站,22:00,23:59,广州第一巴士客运公司(广州电车客运公司),可核对（方向记录已匹配）,车陂总站 ⇄ 广汕路（科景路口）总站 / 广汕路（科景路口）总站 ⇄ 车陂总站
夜82路,1,景泰直街总站 ⇄ 景泰直街总站,22:40,00:30,广州公交集团第二巴士有限公司,可核对（方向记录已匹配）,景泰直街总站 ⇄ 景泰直街总站
夜83路,1,地铁竹料站总站 ⇄ 地铁竹料站总站,22:40,23:59,广州第二巴士客运公司,可核对（方向记录已匹配）,地铁竹料站总站 ⇄ 地铁竹料站总站
夜84路,2,嘉禾望岗总站 ⇄ 清湖村总站(苏元庄) / 清湖村总站(苏元庄) ⇄ 嘉禾望岗总站,22:40,00:30,广州第二巴士客运公司,可核对（方向记录已匹配）,清湖村（苏元庄）总站 ⇄ 嘉禾望岗总站 / 嘉禾望岗总站 ⇄ 清湖村（苏元庄）总站
夜85路,2,嘉禾望岗总站 ⇄ 大朗夏边总站 / 大朗夏边总站 ⇄ 嘉禾望岗总站,23:10,00:30,广州第二巴士客运公司,可核对（方向记录已匹配）,大朗夏边总站 ⇄ 嘉禾望岗总站 / 嘉禾望岗总站 ⇄ 大朗夏边总站
夜86路,2,地铁龙归站总站 ⇄ 太和总站 / 太和总站 ⇄ 地铁龙归站总站,22:45,23:45,广州第二巴士客运公司,可核对（方向记录已匹配）,地铁龙归站总站 ⇄ 太和总站② / 太和总站② ⇄ 地铁龙归站总站
夜87路,2,广州北站(秀全大道) ⇄ 机场路总站 / 机场路总站 ⇄ 广州北站(秀全大道),22:00,24:00,广州公交集团(广州花都恒通客运公司),可核对（方向记录已匹配）,机场路总站 ⇄ 广州北站（秀全大道）总站 / 广州北站（秀全大道）总站 ⇄ 机场路总站
夜88路,2,北城公交总站 ⇄ 广州火车站总站 / 广州火车站总站 ⇄ 北城公交站,,,广州公交集团(广州番广客运公司),可核对（方向记录已匹配）,市桥汽车站 ⇄ 广州火车站（草暖公园）总站 / 广州火车站（草暖公园）总站 ⇄ 市桥汽车站
夜89路,2,华景新城总站 ⇄ 宝岗大道总站 / 宝岗大道总站 ⇄ 华景新城总站,22:30,00:40,广州第二巴士客运公司(广州新福利巴士客运公司),可核对（方向记录已匹配）,华景新城总站 ⇄ 宝岗大道总站 / 宝岗大道总站 ⇄ 华景新城总站
夜8路,2,广州火车站总站 ⇄ 赤沙总站 / 赤沙总站 ⇄ 广州火车站总站,23:00,01:00,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,广州火车站（草暖公园）总站 ⇄ 赤沙（广东财经大学）总站 / 赤沙（广东财经大学）总站 ⇄ 广州火车站（草暖公园）总站
夜90路,2,凰岗总站 ⇄ 天河客运站总站 / 天河客运站总站 ⇄ 凰岗总站,21:40,23:00,广州第二巴士客运公司,可核对（方向记录已匹配）,凰岗总站 ⇄ 天河客运站总站 / 天河客运站总站 ⇄ 凰岗总站
夜94路,2,人和鹤龙七路总站 ⇄ 广州白云站公交总站 / 广州白云站公交总站 ⇄ 人和鹤龙七路总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,广州白云站公交总站 ⇄ 人和鹤龙七路总站 / 人和鹤龙七路总站 ⇄ 广州白云站公交总站
夜95路,2,南方医院总站 ⇄ 大坦沙总站 / 大坦沙总站 ⇄ 南方医院总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,大坦沙（市1中）总站 ⇄ 南方医院总站 / 南方医院总站 ⇄ 大坦沙（市1中）总站
夜96路,2,广州火车站总站 ⇄ 金沙洲(涛乐街)总站 / 金沙洲(涛乐街)总站 ⇄ 广州火车站总站,,,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,金沙洲（涛乐街）总站 ⇄ 广州火车站（草暖公园）总站 / 广州火车站（草暖公园）总站 ⇄ 金沙洲（涛乐街）总站
夜97路,2,萝岗总站 ⇄ 车陂总站 / 车陂总站 ⇄ 萝岗总站,22:00,24:00,巴士集团,可核对（方向记录已匹配）,车陂总站 ⇄ 萝岗总站 / 萝岗总站 ⇄ 车陂总站
夜98路,1,地铁香雪站总站 ⇄ 云埔一路(中一药业)总站,22:00,24:00,广州第三巴士客运公司,可核对（方向记录已匹配）,地铁香雪站总站 ⇄ 云埔一路（中一药业）总站
夜99路,2,大坦沙总站 ⇄ 康王路总站 / 康王路总站(上下九) ⇄ 大坦沙总站,22:15,01:00,广州第一巴士客运公司(广州公交集团一汽巴士客运公司),可核对（方向记录已匹配）,康王路（上下九）总站 ⇄ 大坦沙（市1中）总站 / 大坦沙（市1中）总站 ⇄ 康王路（上下九）总站
夜9路,2,车陂公交场 ⇄ 黄石路总站 / 黄石路总站 ⇄ 车陂公交场,,,广州公交集团一汽巴士客运公司,可核对（方向记录已匹配）,车陂总站 ⇄ 黄石路总站 / 黄石路总站 ⇄ 车陂总站
增城10路,2,二汽石滩客运站 ⇄ 职教园区公交站 / 职教园区公交站 ⇄ 二汽石滩客运站,06:30,21:00,广州增城公交公司,可核对（方向记录已匹配）,二汽车站 ⇄ 二汽石滩客运站 / 二汽石滩客运站 ⇄ 二汽车站
增城10路快线,2,二汽石滩客运站 ⇄ 增城广场地铁总站 / 增城广场地铁总站 ⇄ 二汽石滩客运站,06:23,20:05,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,二汽车站 ⇄ 二汽石滩客运站 / 二汽石滩客运站 ⇄ 二汽车站
增城11路,2,二汽车站 ⇄ 五福路 / 五福路 ⇄ 二汽车站,06:00,21:35,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,二汽车站 ⇄ 五福路 / 五福路 ⇄ 二汽车站
增城11A路,2,官塘村总站 ⇄ 金地上城 / 金地上城站 ⇄ 官塘村总站,06:25,21:00,广州公交集团第二公共汽车公司增城分公司,可核对（方向记录已匹配）,金地上城 ⇄ 官塘村总站 / 官塘村总站 ⇄ 金地上城
增城12路,2,二汽车站 ⇄ 永和医院 / 永和医院 ⇄ 二汽车站,06:00,18:30,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,永和医院 ⇄ 二汽车站 / 二汽车站 ⇄ 永和医院
增城13路,2,仙村公交总站 ⇄ 广运车站 / 广运车站 ⇄ 仙村公交总站,07:20,21:00,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,仙村公交总站 ⇄ 广运车站 / 广运车站 ⇄ 仙村公交总站
增城14路,2,增城公交站 ⇄ 深涌村站 / 深涌村 ⇄ 二汽车站,,,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,深涌村 ⇄ 二汽车站 / 二汽车站 ⇄ 深涌村
增城15路,2,广运车站 ⇄ 派潭客运站 / 派潭客运站 ⇄ 广运车站,06:00,22:00,广州增城公交公司,可核对（方向记录已匹配）,广运车站 ⇄ 派潭客运站 / 派潭客运站 ⇄ 广运车站
增城15路快线,2,增城广场地铁总站 ⇄ 派潭客运站 / 派潭客运站 ⇄ 增城广场地铁总站,06:20,20:30,广州荔通客运公司,可核对（方向记录已匹配）,广运车站 ⇄ 派潭客运站 / 派潭客运站 ⇄ 广运车站
增城17路,2,正果车站 ⇄ 钟岗地铁站 / 钟岗地铁站 ⇄ 正果车站,06:30,21:00,广州增城公交公司,可核对（方向记录已匹配）,钟岗地铁站 ⇄ 正果车站 / 正果车站 ⇄ 钟岗地铁站
增城18路,2,增城广场地铁总站 ⇄ 龙地村 / 龙地村 ⇄ 增城广场地铁总站,06:15,20:30,广州荔通客运公司,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 龙地村 / 龙地村 ⇄ 增城广场地铁总站
增城19路,2,二龙山生态园景区 ⇄ 小楼车站 / 小楼车站 ⇄ 二龙山生态园景区,08:30,18:00,广州粤运客运公司,可核对（方向记录已匹配）,小楼车站 ⇄ 二龙山生态园景区 / 二龙山生态园景区 ⇄ 小楼车站
增城1路,2,大埔围 ⇄ 荔湖社区总站 / 荔湖社区总站 ⇄ 大埔围,07:00,19:30,广州增城公交公司,可核对（方向记录已匹配）,荔湖社区总站 ⇄ 大埔围 / 大埔围 ⇄ 荔湖社区总站
增城21路,2,永宁总站 ⇄ 茅山大道北 / 茅山大道北 ⇄ 永宁总站,,,广州粤运客运公司广东交通集团,可核对（方向记录已匹配）,东江逸珑湾 ⇄ 永宁总站 / 永宁总站 ⇄ 东江逸珑湾
增城22路,1,夏埔村总站 ⇄ 黄沙头村,06:30,21:40,广州粤运客运公司,可核对（方向记录已匹配）,黄沙头村 ⇄ 夏埔村总站 / 夏埔村总站 ⇄ 黄沙头村
增城22路/增22路,1,黄沙头村 ⇄ 夏埔村总站,06:30,21:40,广州粤运客运公司,可核对（方向记录已匹配）,黄沙头村 ⇄ 夏埔村总站 / 夏埔村总站 ⇄ 黄沙头村
增城23路,2,新塘公园 ⇄ 永和中学总站 / 永和中学总站 ⇄ 新塘公园,06:00,18:20,广州粤运客运公司,可核对（方向记录已匹配）,永和中学总站 ⇄ 新塘公园 / 新塘公园 ⇄ 永和中学总站
增城24路,2,东江大道南 ⇄ 新塘站公交总站 / 新塘站公交总站 ⇄ 东江大道南,07:00,19:20,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,新塘站公交总站 ⇄ 东江大道南 / 东江大道南 ⇄ 新塘站公交总站
增城25路,2,东江逸珑湾 ⇄ 陈家林站 / 陈家林站 ⇄ 东江逸珑湾,06:30,21:30,广州荔通客运公司,可核对（方向记录已匹配）,规划一路 ⇄ 陈家林 / 陈家林 ⇄ 规划一路
增城26路,2,凤凰城交通中心 ⇄ 大敦综合市场 / 大敦综合市场 ⇄ 凤凰城交通中心,06:40,21:50,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,大敦综合市场 ⇄ 凤凰城交通中心 / 凤凰城交通中心 ⇄ 大敦综合市场
增城26A路,2,凤晴苑总站 ⇄ 214站 / 214站 ⇄ 凤晴苑总站,06:50,20:15,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,凤晴苑总站 ⇄ 214站 / 214站 ⇄ 凤晴苑总站
增城27路,2,新塘站公交总站 ⇄ 田心村 / 田心村 ⇄ 新塘站公交总站,06:30,19:30,广州增城公交公司,可核对（方向记录已匹配）,新塘站公交总站 ⇄ 田心村 / 田心村 ⇄ 新塘站公交总站
增城28路,2,云顶 ⇄ 新塘汽车客运总站 / 新塘汽车客运站 ⇄ 宁埔大道北,07:00,19:40,广州粤运客运公司;广州增城公交公司,可核对（方向记录已匹配）,新塘汽车客运总站 ⇄ 宁埔大道总站 / 宁埔大道总站 ⇄ 新塘汽车客运总站
增城2路,2,公汽公司 ⇄ 科教城东公交总站 / 科教城东公交总站 ⇄ 公汽公司,06:00,20:00,广州增城公交公司,可核对（方向记录已匹配）,科教城东公交总站 ⇄ 公汽公司 / 公汽公司 ⇄ 科教城东公交总站
增城30路,2,214站 ⇄ 誉山国际五区总站 / 誉山国际五区总站 ⇄ 214站,06:30,20:30,,可核对（方向记录已匹配）,214站 ⇄ 誉山国际五区总站 / 誉山国际五区总站 ⇄ 214站
增城31路,2,新塘万达广场 ⇄ 香山湖总站 / 香山湖总站 ⇄ 新塘万达广场,06:40,21:00,广州荔通客运公司,可核对（方向记录已匹配）,新塘站公交总站 ⇄ 香山湖总站 / 香山湖总站 ⇄ 新塘站公交总站
增城34路,2,214站 ⇄ 二汽石滩客运站 / 二汽石滩客运站 ⇄ 214站,07:00,20:30,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,二汽石滩客运站 ⇄ 214站 / 214站 ⇄ 二汽石滩客运站
增城34路快线,2,214站 ⇄ 增城站公交总站 / 增城站公交总站 ⇄ 214站,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,二汽石滩客运站 ⇄ 214站 / 214站 ⇄ 二汽石滩客运站
增城35路,2,214站 ⇄ 中新车站 / 中新车站 ⇄ 214站,06:20,21:00,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,中新车站 ⇄ 214站 / 214站 ⇄ 中新车站
增城35A路,2,中新车站 ⇄ 香山湖总站 / 香山湖总站 ⇄ 中新车站,06:15,20:30,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,中新车站 ⇄ 香山湖总站 / 香山湖总站 ⇄ 中新车站
增城36路,2,五福路 ⇄ 新塘站公交总站 / 新塘站公交总站 ⇄ 五福路,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,五福路 ⇄ 新塘站公交总站 / 新塘站公交总站 ⇄ 五福路
增城37路,2,仙村车站 ⇄ 西洲总站 / 西洲总站 ⇄ 仙村车站,06:40,20:00,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,西洲总站 ⇄ 仙村车站 / 仙村车站 ⇄ 西洲总站
增城38路,2,坭紫市场 ⇄ 海伦春天站 / 海伦春天站 ⇄ 坭紫市场,06:40,20:00,广州粤运客运公司,可核对（方向记录已匹配）,海伦春天 ⇄ 坭紫市场 / 坭紫市场 ⇄ 海伦春天
增城39路,2,仙村公交总站 ⇄ 尚东阳光 / 尚东阳光 ⇄ 仙村公交总站,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,尚东阳光 ⇄ 仙村公交总站 / 仙村公交总站 ⇄ 尚东阳光
增城3路,2,百花山庄 ⇄ 职教园区公交站 / 职教园区公交站 ⇄ 百花山庄,06:30,21:30,广州增城公交公司,可核对（方向记录已匹配）,职教园区公交站 ⇄ 百花山庄 / 百花山庄 ⇄ 职教园区公交站
增城40路,2,新塘站公交总站 ⇄ 耕寮村 / 耕寮村 ⇄ 新塘站公交总站,,,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,耕寮村 ⇄ 新塘站公交总站 / 新塘站公交总站 ⇄ 耕寮村
增城41路,2,派潭客运站 ⇄ 福和市场 / 福和市场 ⇄ 派潭客运站,,,广州荔通客运公司,可核对（方向记录已匹配）,派潭客运站 ⇄ 福和一桥 / 福和一桥 ⇄ 派潭客运站
增城43路,2,凤凰城交通中心 ⇄ 珠江创业中心 / 珠江创业中心 ⇄ 凤凰城交通中心,,,广州增城公交公司,可核对（方向记录已匹配）,凤凰城交通中心 ⇄ 珠江创业中心 / 珠江创业中心 ⇄ 凤凰城交通中心
增城45路,2,创盈路西总站 ⇄ 新塘大道 / 新塘大道 ⇄ 创盈路西总站,06:30,21:00,广州粤运客运公司,可核对（方向记录已匹配）,创盈路西总站 ⇄ 新塘大道 / 新塘大道 ⇄ 创盈路西总站
增城47路,2,百花山庄 ⇄ 职教园区公交站 / 职教园区公交站 ⇄ 百花山庄,07:30,18:00,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,百花山庄 ⇄ 职教园区公交站 / 职教园区公交站 ⇄ 百花山庄
增城48路,2,上行)(增城广场地铁总站 ⇄ 增城广场地铁总站 / 下行)(增城广场地铁总站 ⇄ 增城广场地铁总站,,,广州二汽客运公司,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 增城广场地铁总站
增城49路,2,七彩澳游 ⇄ 执信增城学校总站 / 润悦花园站 ⇄ 七彩澳游,,,广州荔通客运公司,可核对（方向记录已匹配）,七彩澳游 ⇄ 执信增城学校总站 / 执信增城学校总站 ⇄ 七彩澳游
增城4路,2,康健公司 ⇄ 横塱村委 / 横塱村委 ⇄ 康健公司,,,广州荔通客运公司,可核对（方向记录已匹配）,横塱村委 ⇄ 康健公司 / 康健公司 ⇄ 横塱村委
增城50路,2,七彩澳游 ⇄ 叠溪花园总站 / 叠溪花园总站 ⇄ 七彩澳游,,,广州荔通客运公司,可核对（方向记录已匹配）,七彩澳游 ⇄ 叠溪花园总站 / 叠溪花园总站 ⇄ 七彩澳游
增城50A路,2,叠溪花园 ⇄ 朱村地铁站 / 朱村地铁站 ⇄ 叠溪花园,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,朱村地铁站 ⇄ 叠溪花园总站 / 叠溪花园总站 ⇄ 朱村地铁站
增城51路,2,中新车站 ⇄ 元汾村 / 元汾村 ⇄ 中新车站,,,广州二汽客运公司,可核对（方向记录已匹配）,中新车站 ⇄ 新村 / 新村 ⇄ 中新车站
增城52路,2,中新车站 ⇄ 坳头村 / 坳头村 ⇄ 中新车站,07:30,17:00,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,中新车站 ⇄ 坳头村 / 坳头村 ⇄ 中新车站
增城54路,2,中新车站 ⇄ 简塘村 / 简塘村 ⇄ 中新车站,,,广州粤运客运公司,可核对（方向记录已匹配）,中新车站 ⇄ 简塘村 / 简塘村 ⇄ 中新车站
增城55路,2,三江车站 ⇄ 二汽石滩客运站 / 二汽石滩客运站 ⇄ 三江车站,06:20,20:30,广州增城公交公司,可核对（方向记录已匹配）,二汽石滩客运站 ⇄ 三江车站 / 三江车站 ⇄ 二汽石滩客运站
增城56路,2,岳埔村 ⇄ 石厦村路口 / 石厦村 ⇄ 岳埔村,,,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,岳埔村 ⇄ 石厦村 / 石厦村 ⇄ 岳埔村
增城57路,2,家埔村 ⇄ 二汽石滩客运站 / 石滩客运站 ⇄ 家埔村,,,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,二汽石滩客运站 ⇄ 家埔村 / 家埔村 ⇄ 二汽石滩客运站
增城58路,2,小楼车站 ⇄ 竹坑村 / 竹坑村 ⇄ 小楼车站,07:30,18:30,广州荔通客运公司,可核对（方向记录已匹配）,竹坑村 ⇄ 小楼车站 / 小楼车站 ⇄ 竹坑村
增城59路,2,旧高埔村 ⇄ 派潭客运站 / 派潭客运站 ⇄ 玉枕村,07:30,18:30,广州荔通客运公司,可核对（方向记录已匹配）,派潭客运站 ⇄ 玉枕村 / 玉枕村 ⇄ 派潭客运站
增城5路,2,千鹤街总站 ⇄ 阳光家园 / 阳光家园 ⇄ 千鹤街总站,06:10,21:30,广州粤运客运公司;广州荔通客运公司,可核对（方向记录已匹配）,阳光家园 ⇄ 千鹤街总站（豪园） / 千鹤街总站（豪园） ⇄ 阳光家园
增城60路,2,樟洞坑村 ⇄ 派潭客运站 / 派潭客运站 ⇄ 樟洞坑村,07:50,18:00,广州荔通客运公司,可核对（方向记录已匹配）,派潭客运站 ⇄ 樟洞坑村 / 樟洞坑村 ⇄ 派潭客运站
增城61路,2,密石村 ⇄ 派潭客运站 / 派潭客运站 ⇄ 密石村,08:10,18:10,广州荔通客运公司,可核对（方向记录已匹配）,派潭客运站 ⇄ 背阴村 / 背阴村 ⇄ 派潭客运站
增城62路,2,亚如冚 ⇄ 双头村 / 派潭客运站 ⇄ 亚如冚,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,双头村 ⇄ 亚如冚 / 亚如冚 ⇄ 双头村
增城63路,2,麦村村委 ⇄ 黄塘村 / 黄塘村 ⇄ 麦村村委,,,广州粤运客运公司,可核对（方向记录已匹配）,黄塘村 ⇄ 麦村村委 / 麦村村委 ⇄ 黄塘村
增城64路,2,广东省环保技工学校 ⇄ 新塘万达广场 / 新塘万达广场 ⇄ 广东省环保技工学校,,,广州粤运客运公司,可核对（方向记录已匹配）,广东省环保技工学校 ⇄ 新塘万达广场 / 新塘万达广场 ⇄ 广东省环保技工学校
增城66路,2,正果车站 ⇄ 白江湖森林公园 / 白江湖森林公园 ⇄ 正果车站,,,广州粤运客运公司,可核对（方向记录已匹配）,正果车站 ⇄ 白江湖森林公园 / 白江湖森林公园 ⇄ 正果车站
增城67路,2,正果车站 ⇄ 畲族村 / 畲族村 ⇄ 正果车站,,,广州粤运客运公司,可核对（方向记录已匹配）,畲族村 ⇄ 正果车站 / 正果车站 ⇄ 畲族村
增城68路,2,正果车站 ⇄ 龙潭埔 / 龙潭埔 ⇄ 正果车站,,,广州粤运客运公司,可核对（方向记录已匹配）,白面石村 ⇄ 正果车站 / 正果车站 ⇄ 白面石村
增城69路,2,河洞 ⇄ 邓山村 / 邓山村 ⇄ 河洞,08:30,16:45,广州荔通客运公司,可核对（方向记录已匹配）,河洞村 ⇄ 邓山村 / 邓山村 ⇄ 河洞村
增城6路,2,增城广场地铁总站 ⇄ 小楼车站 / 小楼车站 ⇄ 增城广场地铁总站,07:00,18:10,,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 小楼车站 / 小楼车站 ⇄ 增城广场地铁总站
增城70路,2,小楼车站 ⇄ 福和一桥 / 福和一桥 ⇄ 小楼车站,06:30,16:30,广州粤运客运公司,可核对（方向记录已匹配）,小楼车站 ⇄ 福和一桥 / 福和一桥 ⇄ 小楼车站
增城71路,2,科教城东公交总站 ⇄ 科教城西公交总站 / 科教城西公交总站 ⇄ 科教城东公交总站,07:30,18:30,,可核对（方向记录已匹配）,科教城西公交总站 ⇄ 科教城东公交总站 / 科教城东公交总站 ⇄ 科教城西公交总站
增城72B路,2,正果车站 ⇄ 银场村 / 银场村 ⇄ 正果车站,,,广州粤运客运公司,可核对（方向记录已匹配）,正果车站 ⇄ 银场村 / 银场村 ⇄ 正果车站
增城73路,2,元汾村 ⇄ 小楼车站 / 小楼车站 ⇄ 元汾村,08:00,17:30,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,小楼车站 ⇄ 元汾村 / 元汾村 ⇄ 小楼车站
增城74路,2,五星村 ⇄ 初溪村 / 初溪村站 ⇄ 1978电影小镇创意园,07:00,11:00,广州增城公交公司,可核对（方向记录已匹配）,五星村 ⇄ 初溪村 / 初溪村 ⇄ 五星村
增城76路,2,土江村 ⇄ 增城站公交总站 / 增城站公交总站 ⇄ 土江村,,,广州粤运客运公司,可核对（方向记录已匹配）,增城站公交总站 ⇄ 土江村 / 土江村 ⇄ 增城站公交总站
增城77路,2,增城广场地铁总站 ⇄ 蒋村总站 / 蒋村总站 ⇄ 增城广场地铁总站,,,广州市增城区公共交通运输服务有限公司,可核对（方向记录已匹配）,蒋村总站 ⇄ 增城广场地铁总站 / 增城广场地铁总站 ⇄ 蒋村总站
增城79路,2,挂绿广场东 ⇄ 木潭村 / 木潭村 ⇄ 挂绿广场东,08:20,16:20,,可核对（方向记录已匹配）,挂绿广场东 ⇄ 木潭村 / 木潭村 ⇄ 挂绿广场东
增城7路,2,增城广场地铁总站 ⇄ 华立学院 / 华立学院 ⇄ 增城广场地铁总站,06:30,22:20,广州粤运客运公司,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 华立学院总站 / 华立学院总站 ⇄ 增城广场地铁总站
增城80路,2,挂绿广场东 ⇄ 群爱村 / 群爱村 ⇄ 挂绿广场东,06:40,14:40,,可核对（方向记录已匹配）,群爱村 ⇄ 挂绿广场东 / 挂绿广场东 ⇄ 群爱村
增城81路,2,吓岗村总站 ⇄ 增城广场地铁总站 / 增城广场地铁总站 ⇄ 吓岗村总站,08:00,17:00,广州荔通客运公司,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 吓岗村总站 / 吓岗村总站 ⇄ 增城广场地铁总站
增城82路,2,增城广场西 ⇄ 省轻工学院 / 省轻工学院 ⇄ 增城广场西,,,广州粤运客运公司,可核对（方向记录已匹配）,增城广场西 ⇄ 省轻工学院 / 省轻工学院 ⇄ 增城广场西
增城83路,2,小迳村 ⇄ 黄沙氹村口 / 黄沙氹村口 ⇄ 小迳村,,,广州二汽客运公司增城分公司,可核对（方向记录已匹配）,小迳村 ⇄ 黄沙氹村口 / 黄沙氹村口 ⇄ 小迳村
增城87路,2,大安村 ⇄ 福和一桥 / 福和一桥 ⇄ 大安村,,,荔通公汽,可核对（方向记录已匹配）,福和一桥 ⇄ 新安村 / 新安村 ⇄ 福和一桥
增城88路,2,塘口村 ⇄ 新山吓村 / 新山吓村 ⇄ 塘口村,07:45,17:45,,可核对（方向记录已匹配）,新山吓村 ⇄ 塘口村 / 塘口村 ⇄ 新山吓村
增城89路,2,钟岭村站 ⇄ 铁路物流园 / 铁路物流园 ⇄ 钟岭村站,07:30,17:30,,可核对（方向记录已匹配）,钟岭村 ⇄ 铁路物流园 / 铁路物流园 ⇄ 钟岭村
增城8路,2,增城广场地铁总站 ⇄ 增城站公交总站 / 增城站公交总站 ⇄ 增城广场地铁总站,,,广州增城公交公司,可核对（方向记录已匹配）,增城广场地铁总站 ⇄ 增城站公交总站 / 增城站公交总站 ⇄ 增城广场地铁总站
增城9路,2,公汽公司 ⇄ 新塘海关 / 新塘海关 ⇄ 公汽公司,06:00,22:50,广州粤运客运公司;广州增城公交公司,可核对（方向记录已匹配）,新塘海关 ⇄ 公汽公司 / 公汽公司 ⇄ 新塘海关
增城9路快线,2,挂绿广场东 ⇄ 新塘镇政府 / 新塘镇政府 ⇄ 挂绿广场东,,,,可核对（方向记录已匹配）,新塘海关 ⇄ 公汽公司 / 公汽公司 ⇄ 新塘海关
B10路,2,体育中心总站 ⇄ 地铁天河智慧城总站 / 地铁天河智慧城总站 ⇄ 体育中心总站,,,广州巴士集团有限公司第三分公司东片区四车队,可核对（方向记录已匹配）,地铁天河智慧城站总站 ⇄ 体育中心① / 体育中心① ⇄ 地铁天河智慧城站总站
B11路,2,员村总站 ⇄ 岑村总站 / 岑村总站 ⇄ 员村总站,,,第一巴士,可核对（方向记录已匹配）,岑村总站 ⇄ 员村（美林花园）总站 / 员村（美林花园）总站 ⇄ 岑村总站
B12路,2,天源路总站 ⇄ 车陂总站 / 车陂总站 ⇄ 天源路总站,06:00,22:20,广州第三巴士客运公司,可核对（方向记录已匹配）,车陂总站 ⇄ 天源路（华南国家植物园）总站 / 天源路（华南国家植物园）总站 ⇄ 车陂总站
B14路,1,天坤三路总站 ⇄ 天坤三路总站,06:30,21:30,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,天坤三路总站 ⇄ 天坤三路总站
B15路,2,天河儿童公园北门总站 ⇄ 锦城花园总站(东风东) / 锦城花园总站(东风东) ⇄ 天河儿童公园北门总站,,,第一巴士,可核对（方向记录已匹配）,锦城花园（东风东）总站 ⇄ 天河儿童公园北门总站 / 天河儿童公园北门总站 ⇄ 锦城花园（东风东）总站
B16路,2,云台花园总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 云台花园总站,06:30,22:00,广州第三巴士客运公司(广州珍宝(白马)巴士客运公司),可核对（方向记录已匹配）,云台花园总站 ⇄ 黄埔体育中心总站 / 黄埔体育中心总站 ⇄ 云台花园总站
B17路,2,广州火车东站总站 ⇄ 石化路总站 / 石化路总站 ⇄ 广州火车东站总站,06:00,22:30,广州第二巴士客运公司,可核对（方向记录已匹配）,石化路总站 ⇄ 广州火车东站总站 / 广州火车东站总站 ⇄ 石化路总站
B18路,2,永泰集贤路总站 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰集贤路总站,06:00,22:30,广州第二巴士客运公司,可核对（方向记录已匹配）,永泰集贤路总站 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰集贤路总站 / 永泰路口 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰路口
B18路快线,2,永泰路口 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰路口,,,广州第二巴士客运公司,可核对（方向记录已匹配）,永泰集贤路总站 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰集贤路总站 / 永泰路口 ⇄ 汇彩路北总站 / 汇彩路北总站 ⇄ 永泰路口
