所属站,站组ID,分站名,平台ID,分站编号,车来了分站,经度,纬度,经停线路
百顺南路,百顺南路,百顺南路,BV11594764,,百顺南路,113.290567,23.237153,539路、656路、663路、665路、667路、671路、76路、798路、799路、924路、夜62路、743路
百万葵园站,百万葵园,百万葵园站,BV10015827,,百万葵园,113.615250,22.634360,南21路、南25路、南沙G1路
百足桥,百足桥,百足桥,BV10019237,,百足桥,113.348568,23.268357,246路、504路、夜74路
柏林艺术馆,柏林艺术馆,柏林艺术馆,BV10805084,,柏林艺术馆,113.076022,23.003665,佛251路
柏塘,柏塘,柏塘,BV10018675,,柏塘,113.294110,23.305080,510路、751路、840路、夜123路、夜94路
柏塘工业区总站,柏塘工业区总,柏塘工业区总站,BV10019023,,柏塘工业区总站,113.316657,23.302301,751路
柏塘中心公园,柏塘中心公园,柏塘中心公园,BV09069499,,柏塘中心公园,113.316083,23.302199,夜123路
柏兴东路,柏兴东路,柏兴东路,BV11588299,,柏兴东路,113.310117,23.304344,751路
柏兴中路,柏兴中路,柏兴中路,BV11328434,,柏兴中路（柏塘村委）,113.301476,23.303273,751路
柏兴中路东,柏兴中路东,柏兴中路东,BV11588300,,柏兴中路东,113.304889,23.303949,751路
柏悦湾,柏悦湾,柏悦湾,BV10588905,,柏悦湾,113.216678,23.123661,416路
班岭村,班岭村,班岭村,BV10847169,,班岭村,113.449692,23.197465,325路、345A路、345路、396路、83路、946路、夜60路、夜81路、333路
班岭村口,班岭村口,班岭村口,BV10847182,,班岭村口,113.452616,23.201315,345A路、345路、396路、夜60路、333路
板桥村(金源路口),板桥村(金源路口),板桥村(金源路口),BV11344598,,板桥村（金源路口）,113.378796,23.017827,公交地铁接驳专线9路、番72路
板桥东,板桥东,板桥东,BV10014329,,板桥东,113.382745,23.012626,302A路、公交地铁接驳专线8路、番17路、番17路长线
板桥西,板桥西,板桥西,BV11171491,,板桥西,113.380409,23.012984,公交地铁接驳专线8路、公交地铁接驳专线9路、番17路、番17路长线、番72路
板头村站,板头村,板头村站,BV10015860,,板头村,113.543644,22.792476,南1路B、南沙18路、南沙49路、南沙4路、番141路
