站点名,经停线路数
地铁亭岗站,6
地铁嘉禾望岗站,6
地铁塘坑站,6
地铁文冲站,6
地铁暹岗站,6
地铁沙溪站,6
地铁沙溪站(E1出口),6
地铁海涌路站(海傍村),6
地铁石碁南站(前锋村),6
地铁龙溪站,6
夏花三路,6
大坦沙总站,6
大城云山花园,6
大夫山森林公园路口,6
大岗镇政府站,6
大沥摩托车市场,6
大涌东路,6
大涌站,6
天平架,6
天河智慧城核心区总站(高唐),6
天润路,6
天马河,6
太和路口,6
太营路口,6
奥体路,6
奥园城市天地,6
学府路,6
宝业路,6
富丽,6
小坑村,6
小布,6
小洲路东,6
少管所,6
尚上名筑,6
山田地铁西站,6
岑境村,6
平稳村站,6
广东体育职业学院,6
广东行政学院,6
广中医广药,6
广从路(夏良村口),6
广州城市理工学院,6
广州大道中路口,6
广州市南沙中心医院站,6
广州市档案馆南,6
广州船坞总站,6
广汕一路,6
广视宾馆,6
广隆站,6
广龙路(广从公路口),6
庆盛村,6
庙南村,6
开发大道(骏成路口),6
开泰大道(天泰二路口),6
开泰大道(开源路口),6
开泰大道(开达路口),6
开泰大道(新阳路口),6
开泰大道中,6
开源大道中,6
彩滨北路(西海岸),6
恩宁路,6
悦峰三街路口,6
推广,6
新世纪广场东,6
新丰路中(禾丰新村),6
新华站,6
新和,6
新围村路口,6
新塘牛仔城(A),6
新塘站东,6
新塘镇政府,6
新湖大厦,6
新鸿基市场站,6
方华路口,6
时代南湾站,6
旺城市场,6
星河COCOPark,6
星河湾,6
星海音乐厅,6
星誉花园,6
暹岗村西,6
朝阳路口,6
朱村地铁站,6
机务段路口,6
松柏东街,6
林科所,6
棠乐路,6
棠德花苑总站,6
植村,6
植村西,6
植树公园,6
榄元村,6
榄核二中,6
榄核镇政府,6
横枝岗,6
横枝岗路口,6
横江村,6
横迳广场,6
武警医院,6
毕村西,6
毕村西桥,6
民生桥北站,6
民航学院路口,6
气象局,6
水利学院,6
水厂路口,6
水底村,6
水西路南,6
水闸口,6
永和中学,6
永和加油站,6
永顺大道(民兵路口),6
永顺大道东,6
汀根村,6
汇太中路,6
汇港轩,6
江东村,6
江同路,6
江埔社区,6
江夏村,6
江泰路口,6
江燕路口,6
沙凤一路,6
沙埔路口,6
沙太南路,6
沙太南路(省妇幼天河院区),6
沙尾桥,6
沙溪,6
沙溪商贸城,6
河东路口,6
河村,6
洛浦医疗产业园,6
流花路,6
浦华路西,6
海布,6
海珠广场(侨光西),6
润悦花园,6
润龙里,6
淘金北路,6
清布墟,6
港口大道中,6
潮田工业区,6
