合并站名,站组ID,原始分站名,站点ID,经度,纬度
新南村楼下社,新南村楼下社,新南村楼下社,BV11576162,113.712163,23.570433
新南海医院,新南海医院,新南海医院,BV11650106,112.996505,23.085084
新南海医院南门,新南海医院南门,新南海医院南门,BV11650105,112.993544,23.084578
新厅街,新厅街,新厅街,BV10019446,113.296126,23.230891
新同丰小学路口,新同丰小学路口,新同丰小学路口站,BV10326926,113.54047,22.676131
新同安桥,新同安桥,新同安桥站,BV10015942,113.575069,22.61561
新和,新和,新和,BV11388333,113.460645,23.415325
新和北路中,新和北路中,新和北路中,BV11484605,113.626839,23.181474
新和北路北,新和北路北,新和北路北,BV09245557,113.628725,23.19122
新和南路,新和南路,新和南路,BV10024161,113.633322,23.164808
新和地铁站,新和地铁,新和地铁站,BV11623812,113.460645,23.415325
新和村,新和村#1,新和村,BV10017219,113.253657,23.411704
新和村,新和村#2,新和村,BV10683654,113.247169,23.418579
新园路,新园路,新园路站,BV10015194,113.294718,23.03676
新围,新围,新围,BV10018739,113.480768,23.657375
新围中心公园,新围中心公园,新围中心公园站,BV10388411,113.397356,22.769412
新围八队总站,新围八队总,新围八队总站,BV10388406,113.402491,22.766705
新围村,新围村#1,新围村站,BV10015189,113.392098,22.772675
新围村,新围村#2,新围村,BV09386599,113.834446,23.263608
新围村,新围村#3,新围村,BV11165105,113.7382,23.434838
新围村委,新围村委,新围村委,BV11119653,113.654618,23.437071
新围村路口,新围村路口,新围村路口,BV10522241,113.574123,23.280686
新垦总站,新垦总,新垦总站,BV09302150,113.599817,22.648954
新垦站,新垦,新垦站,BV10015875,113.599683,22.648646
新城市场,新城市场,新城市场,BV11451014,113.582231,23.185505
新城广场,新城广场,新城广场,BV11400674,113.580423,23.542904
新城派出所,新城派出所,新城派出所,BV10017865,113.585408,23.54696
新城路,新城路,新城路,BV09115206,113.297002,22.82572
新基村总站,新基村总,新基村总站,BV10023399,113.359807,23.02966
新堤路中,新堤路中,新堤路中,BV11468513,113.121474,23.041883
新塘,新塘#1,新塘,BV11152722,113.606119,23.518989
新塘,新塘#2,新塘,BV09221019,113.779933,23.679714
新塘万达广场,新塘万达广场,新塘万达广场,BV11118953,113.612583,23.156369
新塘三中,新塘三中,新塘三中站,BV09393816,113.576357,23.113526
新塘中学,新塘中学,新塘中学,BV09236553,113.598821,23.130422
新塘二中,新塘二中,新塘二中,BV10016079,113.639054,23.153524
新塘供电所,新塘供电所,新塘供电所,BV11689661,113.608536,23.133075
新塘公园,新塘公园,新塘公园,BV11119338,113.613218,23.118993
新塘动车所,新塘动车所,新塘动车所,BV09348757,113.686982,23.169264
